"","Setting","rep","alpha","beta","gamma","y.mean","Truth","Unadjusted","PSReg","PSS","IPW","IPW2"
"result.1",1,1,-1,1,-1,0.278601108274442,-0.197070454091127,-0.186922713486648,-0.188219251305725,-0.187949346572595,-0.209944336054661,-0.187978715777487
"result.2",1,2,-1,1,-1,0.27832943823512,-0.197070454091127,-0.186279574739706,-0.18632644819387,-0.186376074862909,-0.20840753369427,-0.1864747345156
"result.3",1,3,-1,1,-1,0.279618129447291,-0.197070454091127,-0.184472768428161,-0.187275653643581,-0.187031825747731,-0.209521864942048,-0.187478692186938
"result.4",1,4,-1,1,-1,0.280245060307266,-0.197070454091127,-0.188505908255722,-0.189504201015219,-0.189821721983343,-0.211614440241738,-0.189544395501287
"result.5",1,5,-1,1,-1,0.278291125793677,-0.197070454091127,-0.1852767114096,-0.186326216132231,-0.18631268227661,-0.208575676403589,-0.186638415247058
"result.6",1,6,-1,1,-1,0.280147537729047,-0.197070454091127,-0.187881014490929,-0.189066926559603,-0.189046622221847,-0.211326573951235,-0.189200675371957
"result.7",1,7,-1,1,-1,0.278869295364543,-0.197070454091127,-0.18584020194789,-0.187443809044587,-0.187455223898398,-0.209637940330446,-0.187664056963478
"result.8",1,8,-1,1,-1,0.278409546067228,-0.197070454091127,-0.18651847114704,-0.187647465304068,-0.187772687177023,-0.209326269407925,-0.187392796454322
"result.9",1,9,-1,1,-1,0.279969907318721,-0.197070454091127,-0.186919434863721,-0.189986337737714,-0.190019617193144,-0.212104741049422,-0.189963645045374
"result.10",1,10,-1,1,-1,0.280043049252385,-0.197070454091127,-0.184698895172611,-0.184961933138063,-0.185566361330738,-0.206859510050049,-0.18479781513026
"result.11",1,11,-1,1,-1,0.280509764448144,-0.197070454091127,-0.188198362496885,-0.189877061224464,-0.189662453767581,-0.212163138966546,-0.190107750398576
"result.12",1,12,-1,1,-1,0.277685092629035,-0.197070454091127,-0.187979263458274,-0.188218495757619,-0.188498410025906,-0.210302673090579,-0.188412463983361
"result.13",1,13,-1,1,-1,0.27868121610655,-0.197070454091127,-0.188628451720185,-0.190845337595204,-0.190800268752741,-0.212928952540233,-0.190963835456929
"result.14",1,14,-1,1,-1,0.279241970931306,-0.197070454091127,-0.188889764433943,-0.190802783964779,-0.190705202016798,-0.213118775674467,-0.191067708074517
"result.15",1,15,-1,1,-1,0.27893198845054,-0.197070454091127,-0.186391597105482,-0.187823497932472,-0.18785061053666,-0.209814656464924,-0.187800874804218
"result.16",1,16,-1,1,-1,0.27943353313852,-0.197070454091127,-0.186625751642078,-0.187546805867451,-0.187530801794555,-0.20963819766055,-0.18759995305929
"result.17",1,17,-1,1,-1,0.28142229714433,-0.197070454091127,-0.186338177101744,-0.188390299086173,-0.188255037565179,-0.210634883523861,-0.188492191725082
"result.18",1,18,-1,1,-1,0.279959458471055,-0.197070454091127,-0.188881114227472,-0.191455182105613,-0.19132452388271,-0.213924182576907,-0.191811735552464
"result.19",1,19,-1,1,-1,0.279085238216312,-0.197070454091127,-0.187259817941186,-0.187607260993134,-0.187959171736841,-0.209383813448535,-0.187392784355827
"result.20",1,20,-1,1,-1,0.281011309136124,-0.197070454091127,-0.186965675207279,-0.187966233267635,-0.187695741975541,-0.210316266323507,-0.188211319800736
"result.21",1,21,-1,1,-1,0.279687788431732,-0.197070454091127,-0.188559283690079,-0.189899627408371,-0.189977234746262,-0.211891806061761,-0.189868333471565
"result.22",1,22,-1,1,-1,0.280387861225371,-0.197070454091127,-0.187298500952582,-0.187902519170323,-0.188118533817486,-0.20987267554966,-0.187742469823466
